objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
3438;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.220038257886875;45.45324631108356;(45.45324631108356, 9.220038257886875)
2961;20137;4;28;UMBRIA - MOLISE - CALVAIRATE;9.222552450423425;45.456874615531;(45.456874615531, 9.222552450423425)
331;20126;2;16;GORLA - PRECOTTO;9.222571622735023;45.521758463965725;(45.521758463965725, 9.222571622735023)
7087;20126;2;16;GORLA - PRECOTTO;9.222960061711186;45.52237832139863;(45.52237832139863, 9.222960061711186)
4208;20139;4;35;LODI - CORVETTO;9.228161729725965;45.440131450868265;(45.440131450868265, 9.228161729725965)
3384;20137;4;29;ORTOMERCATO;9.226773937395958;45.450035570653725;(45.450035570653725, 9.226773937395958)
160;20133;3;22;CITTA' STUDI;9.224958343801315;45.468350211889934;(45.468350211889934, 9.224958343801315)
482;20133;3;22;CITTA' STUDI;9.229683878856575;45.47360149032774;(45.47360149032774, 9.229683878856575)
14285;20127;2;20;LORETO - CASORETTO - NOLO;9.22543756499281;45.494070238121516;(45.494070238121516, 9.22543756499281)
28320;20128;2;16;GORLA - PRECOTTO;9.228661021637043;45.50697057702964;(45.50697057702964, 9.228661021637043)
4227;20128;2;17;ADRIANO;9.236946254436868;45.51424098250318;(45.51424098250318, 9.236946254436868)
4200;20138;4;32;TRIULZO SUPERIORE;9.244042894043215;45.43075673058631;(45.43075673058631, 9.244042894043215)
4230;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.243268055330965;45.506322928772185;(45.506322928772185, 9.243268055330965)
542;20128;2;17;ADRIANO;9.248397980713495;45.51907027768473;(45.51907027768473, 9.248397980713495)
28315;20134;3;24;PARCO FORLANINI - CAVRIANO;9.261667773580017;45.470844270171995;(45.470844270171995, 9.261667773580017)
2563;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.09548981499716;45.456815583028444;(45.456815583028444, 9.09548981499716)
40000;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.09692532528741;45.45498951000774;(45.45498951000774, 9.09692532528741)
4241;20152;7;88;PARCO BOSCO IN CITTA';9.098984888616037;45.46146671384395;(45.46146671384395, 9.098984888616037)
4223;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.095127151475726;45.465032056375655;(45.465032056375655, 9.095127151475726)
11085;20151;8;64;TRENNO;9.098562090579966;45.49238514264037;(45.49238514264037, 9.098562090579966)
55;20153;7;88;PARCO BOSCO IN CITTA';9.105708713061622;45.47852034736091;(45.47852034736091, 9.105708713061622)
304;20151;8;64;TRENNO;9.101280288656735;45.49186760041309;(45.49186760041309, 9.101280288656735)
3372;20153;7;61;QUARTO CAGNINO;9.108185126995652;45.47499321297591;(45.47499321297591, 9.108185126995652)
5828;20151;7;88;PARCO BOSCO IN CITTA';9.107158175148795;45.48779885331103;(45.48779885331103, 9.107158175148795)
4220;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.107254632721927;45.49525577209295;(45.49525577209295, 9.107254632721927)
43841;20152;6;53;LORENTEGGIO;9.11590980613634;45.45150348701336;(45.45150348701336, 9.11590980613634)
64;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.115078368690567;45.490892881908046;(45.490892881908046, 9.115078368690567)
3411;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.117400505514393;45.49319424494077;(45.49319424494077, 9.117400505514393)
4248;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.119362379795254;45.489996951272225;(45.489996951272225, 9.119362379795254)
5395;20147;7;56;FORZE ARMATE;9.122172976065244;45.46784297041395;(45.46784297041395, 9.122172976065244)
5836;20151;7;60;STADIO - IPPODROMI;9.129595642747356;45.47673005437798;(45.47673005437798, 9.129595642747356)
3406;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.131238085116806;45.515613097201154;(45.515613097201154, 9.131238085116806)
5380;20148;7;60;STADIO - IPPODROMI;9.138208848260115;45.47635945668914;(45.47635945668914, 9.138208848260115)
41603;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.133240558243376;45.50909446350633;(45.50909446350633, 9.133240558243376)
28;20142;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.141667201667605;45.43464566870962;(45.43464566870962, 9.141667201667605)
47680;20146;6;49;GIAMBELLINO;9.142118542028076;45.448173689335874;(45.448173689335874, 9.142118542028076)
5859;20146;7;52;BANDE NERE;9.145485320572119;45.46189909338285;(45.46189909338285, 9.145485320572119)
295;20148;7;60;STADIO - IPPODROMI;9.141565263393984;45.479380407227296;(45.479380407227296, 9.141565263393984)
3424;20149;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.145153237948966;45.488412893626275;(45.488412893626275, 9.145153237948966)
10286;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.14800813128401;45.44074661189255;(45.44074661189255, 9.14800813128401)
5850;20144;6;49;GIAMBELLINO;9.147295769320328;45.44802483595179;(45.44802483595179, 9.147295769320328)
5403;20142;6;47;CANTALUPA;9.15850450912296;45.42515646015825;(45.42515646015825, 9.15850450912296)
405;20146;7;51;PORTA MAGENTA;9.153285492287653;45.461469776987535;(45.461469776987535, 9.153285492287653)
393;20146;6;51;PORTA MAGENTA;9.15354060198989;45.4579045543434;(45.4579045543434, 9.15354060198989)
5388;20145;8;59;TRE TORRI;9.155353150387906;45.47528146648131;(45.47528146648131, 9.155353150387906)
479;20155;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.153283211167315;45.49469963105463;(45.49469963105463, 9.153283211167315)
22312;20144;7;51;PORTA MAGENTA;9.160032499203183;45.45945916888273;(45.45945916888273, 9.160032499203183)
3382;20145;8;68;PAGANO;9.161559461555328;45.47081392162919;(45.47081392162919, 9.161559461555328)
1746;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.16724416395137;45.42898827228794;(45.42898827228794, 9.16724416395137)
24;20142;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.170449049588067;45.43384090564458;(45.43384090564458, 9.170449049588067)
12;20142;6;45;MONCUCCO - SAN CRISTOFORO;9.169539715239639;45.43851128066973;(45.43851128066973, 9.169539715239639)
537;20123;1;7;MAGENTA - S. VITTORE;9.16876539400314;45.469200680772566;(45.469200680772566, 9.16876539400314)
46081;20145;8;68;PAGANO;9.167942567699262;45.47874737622964;(45.47874737622964, 9.167942567699262)
2172;20155;8;70;GHISOLFA;9.167203296556384;45.49206157356122;(45.49206157356122, 9.167203296556384)
127;20161;9;80;AFFORI;9.16999685320909;45.51727182749391;(45.51727182749391, 9.16999685320909)
5839;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.172599073881306;45.407712165334665;(45.407712165334665, 9.172599073881306)
4197;20123;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.177293936811763;45.45495306751115;(45.45495306751115, 9.177293936811763)
3391;20123;1;1;DUOMO;9.175917595135077;45.46361558528756;(45.46361558528756, 9.175917595135077)
446;20154;1;8;PARCO SEMPIONE;9.174699462471267;45.47591681641561;(45.47591681641561, 9.174699462471267)
324;20161;9;83;BRUZZANO;9.174368147149565;45.52653476928569;(45.52653476928569, 9.174368147149565)
4574;20161;9;83;BRUZZANO;9.177555487796065;45.52660021280532;(45.52660021280532, 9.177555487796065)
539;20142;5;40;RONCHETTO DELLE RANE;9.18232880357469;45.4012041485202;(45.4012041485202, 9.18232880357469)
2158;20142;5;40;RONCHETTO DELLE RANE;9.180814581681114;45.40273866784504;(45.40273866784504, 9.180814581681114)
399;20123;1;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.18196431160038;45.4559622979077;(45.4559622979077, 9.18196431160038)
383;20123;1;1;DUOMO;9.181699514129525;45.461675131039684;(45.461675131039684, 9.181699514129525)
377;20121;1;1;DUOMO;9.179389454416254;45.46974819732716;(45.46974819732716, 9.179389454416254)
473;20121;1;1;DUOMO;9.180301204434029;45.47035757314661;(45.47035757314661, 9.180301204434029)
3380;20141;5;43;TIBALDI;9.187280122572991;45.437802056417546;(45.437802056417546, 9.187280122572991)
